,city,city_id,cloudiness,humidity,lat,lon,temp,windspeed
1055,tucumcari,5495360,1,19,35.17,-103.73,55.4,13.87
1056,beira,3119841,20,81,43.2,-8.36,48.2,5.82
1057,ahuimanu,5856516,75,74,21.44,-157.84,80.6,8.05
1059,sarangani,1687186,68,100,5.4,125.46,81.98,7.31
1064,ewa beach,5855051,75,74,21.32,-158.01,80.6,8.05
1065,york,2633352,40,81,53.96,-1.08,48.2,2.24
1066,falam,1326105,0,93,22.91,93.68,54.62,1.95
1069,gidam,1271215,0,90,18.98,81.4,63.26,2.73
1070,acapulco,3533462,5,69,16.86,-99.88,82.4,11.41
1073,ossora,2122389,92,98,59.24,163.07,32.3,16.49
1082,zemio,235826,36,91,5.02,25.13,71.0,3.51
1085,almaznyy,582447,20,88,48.03,40.04,35.99,5.3
1086,escanaba,4992232,90,92,45.75,-87.06,28.4,11.41
1092,new ulm,5039173,90,85,44.31,-94.46,28.4,26.4
1093,kungurtug,1501377,68,75,50.6,97.53,8.45,9.44
1097,vitim,2013375,32,73,59.44,112.57,18.44,3.85
1100,kamyshla,553271,8,93,54.11,52.14,34.55,13.58
1103,wai,1253013,0,91,17.95,73.89,61.01,2.39
1104,makakilo city,5850554,75,74,21.35,-158.09,80.6,8.05
1105,cullman,4057835,76,40,34.17,-86.84,86.0,5.82
1107,kysyl-syr,2021017,0,60,63.9,122.77,5.12,2.39
1114,asyut,359783,0,55,27.18,31.19,64.4,17.22
1119,hirara,1862505,75,83,24.8,125.28,71.6,8.05
1122,sobolevo,525426,92,90,54.43,31.9,31.94,9.1
1132,bandarbeyla,64814,92,100,9.49,50.81,79.82,6.31
1134,mhlume,934966,64,93,-26.03,31.81,66.2,3.36
1135,saurimo,145531,76,100,-9.66,20.4,65.78,2.95
1136,cabras,3670719,40,88,5.5,-75.6,62.6,3.36
1139,kingman,5301067,1,10,35.19,-114.05,84.2,4.7
1140,louga,2249222,0,100,15.62,-16.22,64.4,9.17
1144,strathmore,6158023,40,62,51.04,-113.4,26.6,11.41
1145,wamba,204318,100,97,2.14,27.99,69.11,2.28
1146,ostersund,2685750,0,58,63.18,14.64,30.2,11.41
1152,yayva,468560,12,86,59.33,57.26,29.96,14.03
1153,marshall,4243951,75,82,39.39,-87.69,69.8,16.11
1154,pontal do parana,3478424,75,88,-25.67,-48.51,64.4,5.82
1156,padang,1633419,88,100,-0.92,100.36,81.26,2.06
1159,ponta delgada,3372783,40,76,37.73,-25.67,55.4,5.82
1162,chabahar,1161724,0,97,25.29,60.65,77.12,10.0
1163,zhangye,1785036,24,70,38.94,100.46,38.51,19.51
1171,leningradskiy,2123814,32,100,69.38,178.42,18.71,25.66
1172,frederiksvaerk,2621910,90,100,55.97,12.02,41.0,10.29
1178,sinnamary,3380290,92,98,5.38,-52.96,79.55,7.87
1184,port hardy,6111862,90,70,50.7,-127.42,44.6,6.93
1186,bouafle,3031409,0,93,48.96,1.9,46.4,9.17
1187,sarkand,1519691,0,81,45.41,79.91,18.26,7.76
1190,volksrust,943032,92,100,-27.36,29.88,58.31,2.62
1193,sjenica,3190776,48,87,43.27,20.0,29.24,2.06
1195,honningsvag,779554,75,100,70.98,25.97,32.0,24.16
1206,bani,1695357,64,98,15.89,120.27,76.58,3.18
1207,port macquarie,2152659,40,88,-31.43,152.91,69.8,5.82
1213,xiongyue,2033630,0,28,40.18,122.12,38.96,13.69
1215,maunabo,4566208,75,74,18.01,-65.9,78.8,9.17
1218,ilo,3938415,0,91,-17.65,-71.34,64.25,3.62
1225,toamasina,1053384,40,94,-18.17,49.38,77.0,4.7
1227,puerto escondido,3520994,5,70,15.86,-97.07,84.2,11.41
1229,chumikan,2025256,76,56,54.72,135.31,25.01,14.7
1231,shenkursk,494884,88,80,62.11,42.91,30.95,13.02
1234,macomer,3174367,40,87,40.26,8.77,59.0,8.05
1235,cheremukhovo,466423,88,99,56.23,46.23,33.11,4.07
1236,ixtapa,4004293,0,42,20.71,-105.21,77.03,2.73
1240,margate,2158744,0,59,-43.03,147.26,60.8,9.17
1243,birjand,140463,0,23,32.86,59.22,51.8,4.7
1245,baruun-urt,2032614,0,35,46.68,113.28,20.06,12.24
1251,kilrush,2965260,75,100,51.96,-8.06,44.6,6.93
1255,saint-francois,2980080,0,87,46.42,3.91,46.4,5.82
1256,koutsouras,261814,0,99,35.03,25.95,60.65,4.97
1257,songjianghe,2034691,0,65,42.18,127.48,29.69,4.41
1259,villa del rosario,3665913,75,78,7.83,-72.47,77.0,2.24
1283,merritt island,4164092,1,57,28.54,-80.67,84.2,9.17
1287,hamilton,3573197,75,77,32.3,-64.78,69.8,5.82
1288,biala podlaska,776175,0,86,52.03,23.12,38.78,4.85
1291,avera,4231997,40,39,33.19,-82.53,86.0,4.7
1293,pocone,3453315,12,81,-16.26,-56.62,78.65,3.29
1297,ngaoundere,2224827,24,86,7.32,13.58,64.16,3.51
1299,pandan,1695555,56,100,11.72,122.09,79.64,13.24
1300,damietta,358048,40,72,31.42,31.81,64.4,9.17
1301,alofi,4036284,90,78,-19.06,-169.92,82.4,11.41
1309,ha giang,1581349,92,100,22.83,104.99,67.04,2.06
1315,langenburg,6049379,0,85,50.84,-101.7,14.39,5.75
1318,kulhudhuffushi,1337613,8,100,6.62,73.07,82.97,5.08
1319,salalah,286621,40,73,17.01,54.1,77.0,3.36
1322,sechura,3691954,0,68,-5.56,-80.82,75.41,11.01
1323,bowen,2174444,90,88,-20.01,148.25,73.4,13.87
1325,nguru,2328952,0,30,12.88,10.45,68.75,5.97
1326,palembang,1633070,92,98,-2.99,104.76,74.06,4.41
1332,jiangyou,1885823,76,78,31.78,104.73,60.38,3.29
1334,manzanillo,3547867,44,100,20.34,-77.12,78.29,2.62
1339,biak,1637001,68,100,-0.91,122.88,77.57,2.62
1342,koulikoro,2454530,12,16,12.86,-7.56,91.4,4.7
1344,wanning,3220813,75,58,48.64,13.53,55.4,5.82
1345,suntar,2015913,64,72,62.16,117.65,12.86,2.62
1346,kyshtovka,1501000,20,59,56.56,76.62,2.51,4.07
1347,vilhena,3924679,0,94,-12.74,-60.15,73.4,3.36
1349,hasaki,2112802,0,100,35.73,140.83,57.2,2.24
1351,ojinaga,3994469,0,7,29.56,-104.41,81.89,4.85
1354,dejen,339551,92,93,10.16,38.15,56.69,2.17
1356,sajoszoged,715941,0,92,47.95,21.0,43.19,3.74
1358,glasgow,2648579,92,86,55.86,-4.24,39.2,10.29
1361,zaton,690285,44,90,49.77,33.77,35.09,9.78
1366,hofn,2630299,0,100,64.25,-15.21,32.57,21.85
1367,sitka,4267710,0,27,37.17,-99.65,47.69,22.3
1370,lorengau,2092164,68,93,-2.02,147.27,84.68,11.68
1376,diffa,2445704,0,25,13.32,12.61,70.28,6.76
1378,mendeleyevo,527581,0,84,56.04,37.23,32.0,4.47
1380,bethalto,4233662,90,93,38.91,-90.04,48.2,29.97
1381,ballina,2966778,92,100,54.11,-9.15,37.16,14.03
1386,kirchzarten,2890328,0,58,47.97,7.96,57.2,4.7
1389,cassilandia,3466750,12,91,-19.11,-51.73,71.36,4.74
1392,kijang,1842966,75,82,35.24,129.21,59.0,5.82
1396,tongzi,1799686,44,79,28.78,105.09,67.58,5.08
1399,dumabato,1714212,80,100,16.32,121.7,71.9,1.61
1402,houston,4699066,20,54,29.76,-95.37,84.2,10.29
1404,roseburg,5749352,90,44,43.22,-123.34,57.2,2.95
1406,letlhakane,933535,8,62,-21.42,25.59,64.61,13.47
1412,puri,1635111,36,92,-7.54,112.45,73.79,4.18
1413,lazaro cardenas,3996234,40,15,28.39,-105.62,80.6,17.22
1414,nome,4732862,75,65,30.04,-94.42,84.2,11.41
1416,vila do maio,3374120,20,68,15.13,-23.22,69.8,13.87
1420,namatanai,2090021,0,93,-3.66,152.44,85.49,7.99
1424,rangapara,1258501,0,53,26.82,92.69,60.92,3.62
1432,harper,4696310,1,65,30.3,-99.24,82.4,8.05
1433,srednekolymsk,2121025,44,87,67.46,153.71,37.25,3.4
1437,lamar,5427957,1,9,38.09,-102.62,53.6,16.11
1438,rio novo do sul,3451107,88,100,-20.86,-40.94,73.7,7.43
1439,aguada de pasajeros,3569546,68,65,22.38,-80.85,82.4,11.41
1446,belle fourche,5762718,1,67,44.67,-103.85,26.6,6.93
1452,naliya,1262062,8,96,23.26,68.83,70.19,5.97
1455,cache creek,5913049,75,42,50.81,-121.33,46.4,10.29
1456,maragogi,3395458,92,95,-9.01,-35.22,77.03,5.3
1457,guerrero negro,4021858,0,65,27.97,-114.04,65.6,12.01
1466,hobyo,57000,80,89,5.35,48.53,80.09,8.88
1467,el banco,3684917,32,81,9.0,-73.97,80.18,2.95
1472,russas,3390160,24,90,-4.93,-37.97,77.75,9.66
1475,atambua,1651103,32,100,-9.11,124.89,79.55,0.6
1478,arshan,75518,0,87,14.32,46.95,54.35,3.18
1483,craig,5576064,1,14,40.52,-107.55,42.8,14.99
1484,batagay,2027044,24,79,67.65,134.64,18.26,5.97
1485,linjiang,2036069,0,65,41.81,126.91,29.69,4.41
1491,ichinoseki,2112656,92,86,38.93,141.13,52.82,3.18
1496,egvekinot,4031742,32,95,66.32,-179.17,31.04,3.29
1506,eureka,5563397,1,71,40.8,-124.16,55.4,9.17
1509,morant bay,3489440,20,74,17.88,-76.41,82.4,9.17
1518,havre-saint-pierre,5972291,90,58,50.23,-63.6,30.2,12.75
1519,sistranda,3139597,0,55,63.73,8.83,35.6,19.46
1521,vila,3164565,75,100,45.18,8.4,46.4,8.05
1529,bandrele,1090397,76,78,-12.91,45.19,82.4,4.7
1530,francistown,933778,0,64,-21.17,27.5,65.51,11.45
1533,lake havasu city,5301388,1,5,34.47,-114.34,84.2,14.99
1536,sampit,1628884,36,97,-2.54,112.95,75.23,4.63
1544,toora-khem,1489401,64,61,52.47,96.11,11.42,6.64
1552,arrifes,3373329,40,76,37.77,-25.7,55.4,5.82
1553,otradnoye,513898,20,63,59.77,30.8,30.2,4.47
1562,dobryanka,565778,0,47,58.45,56.42,37.4,11.18
1563,launceston,2160517,0,100,-41.43,147.14,50.0,4.7
1569,melbourne,2158177,20,63,-37.81,144.96,60.8,6.93
1570,oktyabrskiy,515873,0,86,55.61,37.97,32.0,4.47
1573,sao gabriel da cachoeira,3662342,56,95,-0.13,-67.09,74.15,0.94
1582,mareeba,2158767,0,69,-16.99,145.42,77.0,4.7
1587,posadas,3429886,20,65,-27.37,-55.89,78.8,5.82
1588,maun,933366,12,61,-19.99,23.42,68.21,5.75
1592,svetlogorsk,584051,90,92,53.14,59.15,24.8,11.18
1593,romans-sur-isere,2983011,0,71,45.05,5.06,51.8,6.93
1605,ulu-telyak,479198,0,78,54.91,56.98,31.49,6.42
1608,porbandar,1259395,0,91,21.64,69.61,73.34,8.66
1612,cervo,3469169,44,96,-22.19,-46.24,63.08,2.73
1613,buala,2109528,48,88,-8.15,159.59,84.68,7.2
1618,nueva gerona,3545867,0,84,21.88,-82.8,78.65,6.42
1621,darnah,87205,8,99,32.77,22.64,62.63,5.19
1623,seddon,6243926,0,66,-41.67,174.07,67.31,7.76
1631,raudeberg,3146487,90,74,61.99,5.14,33.8,13.87
1632,batagay-alyta,2027042,80,83,67.8,130.41,9.89,6.53
1635,yeppoon,2142316,75,88,-23.13,150.74,71.6,12.75
1640,ust-kalmanka,1488200,24,64,52.12,83.31,9.08,5.19
1644,petropavlovka,2017979,92,72,50.61,105.32,26.81,5.41
